;Date; Close ;Volume;Symbol
0;01/06/2020; 14.348.699.951.171.800 ;1258100;GOOGL
1;02/06/2020; 144.231.005.859.375 ;1172100;GOOGL
2;03/06/2020; 1439.25 ;1386600;GOOGL
3;04/06/2020; 1.414.300.048.828.120 ;1349100;GOOGL
4;05/06/2020; 144.002.001.953.125 ;2132100;GOOGL
5;08/06/2020; 14.480.400.390.625 ;1693900;GOOGL
6;09/06/2020; 14.520.799.560.546.800 ;1681200;GOOGL
7;10/06/2020; 1.464.699.951.171.870 ;1588100;GOOGL
8;11/06/2020; 14.019.000.244.140.600 ;2357200;GOOGL
9;12/06/2020; 14.129.200.439.453.100 ;1832900;GOOGL
10;15/06/2020; 1.420.739.990.234.370 ;1523400;GOOGL
11;16/06/2020; 1.446.469.970.703.120 ;1532400;GOOGL
12;17/06/2020; 14.525.400.390.625 ;1528300;GOOGL
13;18/06/2020; 14.341.199.951.171.800 ;1743100;GOOGL
14;19/06/2020; 14.246.400.146.484.300 ;2639200;GOOGL
15;22/06/2020; 14.506.600.341.796.800 ;1472100;GOOGL
16;23/06/2020; 146.397.998.046.875 ;1887600;GOOGL
17;24/06/2020; 1.432.699.951.171.870 ;1579600;GOOGL
18;25/06/2020; 14.410.999.755.859.300 ;1197900;GOOGL
19;26/06/2020; 13.625.400.390.625 ;4882000;GOOGL
20;29/06/2020; 13.971.700.439.453.100 ;2253700;GOOGL
21;30/06/2020; 1.418.050.048.828.120 ;2014300;GOOGL
