regiao,estado,data,casosNovos,casosAcumulados,obitosNovos,obitosAcumulados
Centro-Oeste,MT,20/03/2020,1,1,0,0
Centro-Oeste,MT,21/03/2020,1,2,0,0
Centro-Oeste,MT,24/03/2020,5,7,0,0
Centro-Oeste,MT,25/03/2020,1,8,0,0
Centro-Oeste,MT,26/03/2020,3,11,0,0
Centro-Oeste,MT,28/03/2020,2,13,0,0
Centro-Oeste,MT,29/03/2020,3,16,0,0
Centro-Oeste,MT,30/03/2020,2,18,0,0
Centro-Oeste,MT,31/03/2020,7,25,0,0
Centro-Oeste,MT,01/04/2020,2,27,0,0
Centro-Oeste,MT,02/04/2020,9,36,0,0
Centro-Oeste,MT,03/04/2020,8,44,1,1
Centro-Oeste,MT,04/04/2020,12,56,0,1
Centro-Oeste,MT,05/04/2020,4,60,0,1
Centro-Oeste,MT,06/04/2020,16,76,0,1
Centro-Oeste,MT,07/04/2020,2,78,0,1
Centro-Oeste,MT,08/04/2020,12,90,0,1
Centro-Oeste,MT,09/04/2020,18,108,1,2
Centro-Oeste,MT,10/04/2020,4,112,0,2
Centro-Oeste,MT,11/04/2020,9,121,1,3
Centro-Oeste,MT,12/04/2020,2,123,0,3
Centro-Oeste,MT,13/04/2020,11,134,1,4
Centro-Oeste,MT,14/04/2020,4,138,0,4
Centro-Oeste,MT,15/04/2020,13,151,0,4
Centro-Oeste,MT,16/04/2020,5,156,1,5
Centro-Oeste,MT,17/04/2020,6,162,0,5
Centro-Oeste,MT,18/04/2020,9,171,0,5
Centro-Oeste,MT,19/04/2020,3,174,0,5
Centro-Oeste,MT,20/04/2020,7,181,1,6
Centro-Oeste,MT,22/04/2020,2,183,0,6
Centro-Oeste,MT,23/04/2020,38,221,1,7
Centro-Oeste,MT,24/04/2020,19,240,1,8
Centro-Oeste,MT,25/04/2020,7,247,1,9
Centro-Oeste,DF,07/03/2020,1,1,0,0
Centro-Oeste,DF,11/03/2020,1,2,0,0
Centro-Oeste,DF,14/03/2020,4,6,0,0
Centro-Oeste,DF,15/03/2020,2,8,0,0
Centro-Oeste,DF,16/03/2020,5,13,0,0
Centro-Oeste,DF,17/03/2020,9,22,0,0
Centro-Oeste,DF,18/03/2020,4,26,0,0
Centro-Oeste,DF,19/03/2020,16,42,0,0
Centro-Oeste,DF,20/03/2020,45,87,0,0
Centro-Oeste,DF,21/03/2020,13,100,0,0
Centro-Oeste,DF,22/03/2020,17,117,0,0
Centro-Oeste,DF,23/03/2020,16,133,0,0
Centro-Oeste,DF,24/03/2020,27,160,0,0
Centro-Oeste,DF,26/03/2020,40,200,0,0
Centro-Oeste,DF,27/03/2020,30,230,0,0
Centro-Oeste,DF,28/03/2020,30,260,0,0
Centro-Oeste,DF,29/03/2020,29,289,1,1
Centro-Oeste,DF,30/03/2020,23,312,0,1
Centro-Oeste,DF,31/03/2020,20,332,2,3
Centro-Oeste,DF,01/04/2020,23,355,0,3
Centro-Oeste,DF,02/04/2020,15,370,1,4
Centro-Oeste,DF,03/04/2020,32,402,1,5
Centro-Oeste,DF,04/04/2020,52,454,2,7
Centro-Oeste,DF,05/04/2020,14,468,0,7
Centro-Oeste,DF,06/04/2020,5,473,3,10
Centro-Oeste,DF,07/04/2020,19,492,2,12
Centro-Oeste,DF,08/04/2020,17,509,0,12
Centro-Oeste,DF,09/04/2020,18,527,1,13
Centro-Oeste,DF,10/04/2020,28,555,1,14
Centro-Oeste,DF,11/04/2020,24,579,0,14
Centro-Oeste,DF,12/04/2020,35,614,0,14
Centro-Oeste,DF,13/04/2020,24,638,1,15
Centro-Oeste,DF,14/04/2020,13,651,2,17
Centro-Oeste,DF,15/04/2020,31,682,0,17
Centro-Oeste,DF,16/04/2020,34,716,3,20
Centro-Oeste,DF,17/04/2020,30,746,0,20
Centro-Oeste,DF,18/04/2020,16,762,4,24
Centro-Oeste,DF,19/04/2020,65,827,0,24
Centro-Oeste,DF,20/04/2020,45,872,0,24
Centro-Oeste,DF,21/04/2020,9,881,0,24
Centro-Oeste,DF,22/04/2020,65,946,1,25
Centro-Oeste,DF,23/04/2020,17,963,0,25
Centro-Oeste,DF,24/04/2020,26,989,1,26
Centro-Oeste,DF,25/04/2020,24,1013,0,26
